,database,query,num_topics,qry_topics,num_documents,rand_seed,coherence,ext_query_size,num_relevant,f_distance,top_10_true,top_20_true
174,Radjenovic,defect_predict metric,150,2,6000,310,0.3440232061911427,2,48,1,4,6
175,Radjenovic,defect_predict metric,160,2,6000,310,0.3449429883972947,2,48,3,2,4
176,Radjenovic,defect_predict metric,170,2,6000,310,0.34064593911162283,2,48,34,0,0
177,Radjenovic,defect_predict metric,180,2,6000,310,0.3444477915870026,2,48,9,1,4
178,Radjenovic,defect_predict metric,190,2,6000,310,0.340562594853367,2,48,3,2,4
179,Radjenovic,defect_predict metric,200,2,6000,310,0.33747338816982153,2,48,1,2,4
180,Radjenovic,defect_predict metric,10,2,6000,983,0.4396876837102459,919,48,18,0,1
181,Radjenovic,defect_predict metric,20,1,6000,983,0.44051892748025995,753,48,20,0,1
182,Radjenovic,defect_predict metric,30,30,6000,983,0.43604251870882405,2,48,12,0,1
183,Radjenovic,defect_predict metric,40,40,6000,983,0.4075893779602594,2,48,1,1,3
184,Radjenovic,defect_predict metric,50,50,6000,983,0.40450545943243377,2,48,2,2,4
185,Radjenovic,defect_predict metric,60,1,6000,983,0.3824441590119048,342,48,9,2,2
186,Radjenovic,defect_predict metric,70,1,6000,983,0.37867752967765084,413,48,3,3,7
187,Radjenovic,defect_predict metric,80,1,6000,983,0.3652253615907576,487,48,12,0,1
188,Radjenovic,defect_predict metric,90,90,6000,983,0.3570148171614925,2,48,11,0,1
189,Radjenovic,defect_predict metric,100,2,6000,983,0.3567413182048953,2,48,22,0,0
190,Radjenovic,defect_predict metric,110,2,6000,983,0.3597319079303545,2,48,6,1,1
191,Radjenovic,defect_predict metric,120,1,6000,983,0.34212454876453874,311,48,1,5,8
192,Radjenovic,defect_predict metric,130,2,6000,983,0.3501281294292627,2,48,14,0,1
193,Radjenovic,defect_predict metric,140,2,6000,983,0.34656467171105465,2,48,1,5,8
194,Radjenovic,defect_predict metric,150,2,6000,983,0.3537558699578939,2,48,1,3,6
195,Radjenovic,defect_predict metric,160,2,6000,983,0.3356225985633511,2,48,2,2,5
196,Radjenovic,defect_predict metric,170,2,6000,983,0.3408221196721194,2,48,4,3,6
197,Radjenovic,defect_predict metric,180,2,6000,983,0.3352367020397481,2,48,8,1,2
198,Radjenovic,defect_predict metric,190,2,6000,983,0.34008200757497287,2,48,1,4,5
